CommonName,Latitude,Longitude,ObservationDate,ObservationCondition,TransfToRehab,DiedAtSite,FinddingsOfHI
"Seal, harbor",47.5777,-122.5254,2021-01-03,Fresh Dead,N,N,CBD
"Seal, harbor",47.5798,-122.5259,2021-01-06,Condition Unknown,N,N,CBD
"Seal, harbor",47.3813,-122.6356,2021-01-07,Fresh Dead,N,N,N
"Seal, harbor",47.52645,-122.395383,2021-01-13,Fresh Dead,,,CBD
"Seal, harbor",47.8677,-122.5147,2021-01-16,Alive,N,N,CBD
"Seal, harbor",47.8153,-122.6559,2021-01-19,Fresh Dead,N,N,CBD
"Seal, harbor",47.378771,-122.404864,2021-01-21,Moderate Decomposition,,,CBD
"Seal, harbor",47.804,-122.486,2021-01-25,Moderate Decomposition,N,N,Y
"Seal, harbor",47.3088,-122.5399,2021-02-01,Fresh Dead,N,N,CBD
"Seal, harbor",46.35067,-124.06455,2021-02-01,Mummified/Skeletal,,,CBD
"Seal, harbor",46.51128,-124.06029,2021-02-07,Fresh Dead,,,CBD
"Seal, harbor",48.135462,-122.761735,2021-02-08,Fresh Dead,,,CBD
"Seal, harbor",47.6926495,-122.7718376,2021-02-17,Fresh Dead,,,CBD
"Seal, harbor",47.2022,-122.5824,2021-02-19,Alive,,,CBD
"Seal, harbor",46.9933,-124.1753,2021-02-19,Fresh Dead,N,N,CBD
"Seal, harbor",48.12567,-122.466302,2021-02-20,Moderate Decomposition,,,CBD
"Seal, harbor",48.3408,-124.671,2021-02-22,Moderate Decomposition,,,CBD
"Seal, harbor",48.3031,-124.6645,2021-02-24,Moderate Decomposition,,,CBD
"Seal, harbor",48.496051,-122.600095,2021-03-03,Fresh Dead,,,CBD
"Seal, harbor",48.971617,-123.0813807,2021-03-03,Fresh Dead,,,CBD
"Seal, harbor",46.9289,-124.1757,2021-03-07,Moderate Decomposition,,,CBD
"Seal, harbor",46.9304,-124.1012,2021-03-10,Mummified/Skeletal,,,CBD
"Seal, harbor",46.7688,-124.1095,2021-03-14,Moderate Decomposition,,,Y
"Seal, harbor",,,2021-03-15,Moderate Decomposition,,,N
"Seal, harbor",47.8075,-122.3919,2021-03-15,Fresh Dead,,,Y
"Seal, harbor",46.4014,-124.06241,2021-03-27,Condition Unknown,,,CBD
"Seal, harbor",48.5643,-122.9359,2021-03-29,Fresh Dead,N,N,N
"Seal, harbor",47.032,-124.1743,2021-03-29,Fresh Dead,,,N
"Seal, harbor",48.7074,-122.9429,2021-04-01,Fresh Dead,,,CBD
"Seal, harbor",47.36,-123.101,2021-04-01,Moderate Decomposition,N,N,CBD
"Seal, harbor",47.7475,-122.5371,2021-04-02,Condition Unknown,,,CBD
"Seal, harbor",48.161,-123.71,2021-04-05,Moderate Decomposition,,,CBD
"Seal, harbor",48.09922,-122.527101,2021-04-05,Fresh Dead,,,N
"Seal, harbor",47.4543618,-122.5114853,2021-04-08,Fresh Dead,,,N
"Seal, harbor",48.6194,-123.1335,2021-04-10,Fresh Dead,,,N
"Seal, harbor",48.096941,-122.520214,2021-04-13,Moderate Decomposition,,,N
"Seal, harbor",48.6317,-122.9612,2021-04-19,Moderate Decomposition,,,N
"Seal, harbor",47.6162,-122.5157,2021-04-19,Fresh Dead,,,CBD
"Seal, harbor",47.6004,-122.5943,2021-04-19,Fresh Dead,,,CBD
"Seal, harbor",46.942,-124.1165,2021-04-20,Fresh Dead,,,CBD
"Seal, harbor",47.297,-122.6812,2021-04-20,Fresh Dead,,,N
"Seal, harbor",48.6403,-122.4814,2021-04-21,Alive,,,CBD
"Seal, harbor",47.3275,-122.6562,2021-04-21,Condition Unknown,,,CBD
"Seal, harbor",47.5287,-122.547,2021-04-22,Fresh Dead,,,CBD
"Seal, harbor",46.7528,-124.1054,2021-04-27,Moderate Decomposition,,,CBD
"Seal, harbor",46.7528,-124.1054,2021-04-27,Advanced Decomposition,,,CBD
"Seal, harbor",,,2021-04-30,Fresh Dead,,,N
"Seal, harbor",46.9949,-124.1747,2021-04-30,Alive,,,Y
"Seal, harbor",48.019444,-122.670556,2021-05-02,Fresh Dead,,,CBD
"Seal, harbor",47.967804,-122.350807,2021-05-05,Fresh Dead,,,N
